utt000000	幫您轉接給 Rita 邱先生,他的分機是 1399。
utt000053	您好,這裡是宏達電子,很高興為您服務。
utt000054	不好意思,Jerry 剛離開,請問要留言給許業務嗎?
utt000055	您好,行銷部的 Rita 張小姐 為您服務。
utt000056	您的PDF 報價單設定已完成,如有問題請撥分機 983。
utt000057	Sandra 許小姐 請您回電,電話是 0996-827-171。
utt000058	系統顯示您的 SSD 硬碟 帳號需要更新,請聯絡業務部。
utt000059	請問您要找哪一位?是 Grace 還是 Jason?
utt000060	麻煩您撥打 0916-562-988 聯絡 Frank 曾顧問,謝謝。
utt000061	Amy 的 email 已經準備好,請到 11 樓領取。
utt000062	不好意思,Helen 剛離開,請問要留言給邱協理嗎?
utt000063	Grace 目前正在開會,大約 29 分鐘後回來。
utt000064	這是 凌華科技 的語音信箱,請在嗶聲後留言。
utt000065	系統顯示您的 Excel 報表 帳號需要更新,請聯絡技術部。
utt000066	我們已經把 Outlook 寄到您的信箱,請查收。
utt000067	Tina 目前正在開會,大約 16 分鐘後回來。
utt000068	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000069	請問是 Betty 先生嗎?楊小姐要找您。
utt000070	Rita 目前正在開會,大約 38 分鐘後回來。
utt000071	請問是 Daniel 先生嗎?張先生要找您。
utt000072	不好意思,Nancy 剛離開,請問要留言給張助理嗎?
utt000073	請問您要找哪一位?是 Jack 還是 Kevin?
utt000074	幫您轉接給 Ivy 葉主任,請稍候。
utt000075	Andy 蘇協理 請您回電,電話是 0955-966-260。
utt000076	請問您的訂單編號是?方便提供一下嗎?編號是 689302。
utt000077	Henry 的 Server 主機 已經準備好,請到 4 樓領取。
utt000078	幫您轉接給 Sandra 莊專員,他的分機是 9394。
utt000079	今天的會議改到下午 3 點,地點在 6 樓會議室。
utt000080	幫您轉接給 Leo 張課長,他的分機是 105。
utt000081	請問您是要報修 PDF 報價單 還是 AI 語音助理?
utt000082	不好意思,Rita 剛離開,請問要留言給蔡襄理嗎?
utt000083	幫您轉接給 Oscar 許協理,請稍候。
utt000084	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt000085	幫您轉接給 Kevin 郭助理,請稍候。
utt000086	謝謝您的來電,祝您有美好的一天,再見。
utt000087	這是 凌華科技 的語音信箱,請在嗶聲後留言。
utt000088	您好,這裡是宏達電子,很高興為您服務。
utt000089	幫您轉接給 Karen 陳專員,他的分機是 189。
utt000090	請問您的訂單編號是?方便提供一下嗎?編號是 430274。
utt000091	謝謝您的來電,祝您有美好的一天,再見。
utt000092	您的VPN設定已完成,如有問題請撥分機 593。
utt000093	您好,請問要預約 Ivy 課長 的時間嗎?
utt000094	Emily 的 Zoom 連結 已經準備好,請到 9 樓領取。
utt000095	Leo 的 SSD 硬碟 已經準備好,請到 5 樓領取。
utt000096	請問您的訂單編號是?方便提供一下嗎?編號是 160430。
utt000097	請問您是要報修 Excel 報表 還是 USB?
utt000098	您好,總務部的 Sam 楊顧問 為您服務。
utt000099	謝謝您的來電,祝您有美好的一天,再見。
utt000100	幫您轉接給 Peter 江課長,他的分機是 908。
utt000101	關於您的 API 介面 問題,我幫您轉到資訊部。
utt000102	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000103	請問您是要報修 AI 語音助理 還是 PDF 報價單?
utt000104	您好,請問要預約 Emily 副理 的時間嗎?
utt000105	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000106	Vivian 鄭襄理 現在不在位子上,需要幫您留言嗎?
utt000107	麻煩您撥打 0948-129-534 聯絡 Joyce 李主任,謝謝。
utt000108	Wendy 謝工程師 請您回電,電話是 0994-324-893。
utt000109	Grace 廖經理 現在不在位子上,需要幫您留言嗎?
utt000110	Andy 的 Server 主機 已經準備好,請到 7 樓領取。
utt000111	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt000112	您撥的分機 048 忙線中,請稍後再撥。
utt000113	請問是 Betty 先生嗎?蔡主任要找您。
utt000114	Joyce 黃助理 現在不在位子上,需要幫您留言嗎?
utt000115	Catherine 目前正在開會,大約 7 分鐘後回來。
utt000116	麻煩您撥打 0975-939-371 聯絡 Sam 葉先生,謝謝。
utt000117	謝謝您的來電,祝您有美好的一天,再見。
utt000118	請問您是要報修 Teams 會議 還是 VPN?
utt000119	Kevin 的 ERP 系統 已經準備好,請到 8 樓領取。
utt000120	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000121	您撥的分機 8265 忙線中,請稍後再撥。
utt000122	您撥的分機 4535 忙線中,請稍後再撥。
utt000123	請問您的訂單編號是?方便提供一下嗎?編號是 581577。
utt000124	麻煩您撥打 08-8767-6114 聯絡 Frank 王業務,謝謝。
utt000125	Cindy 曾經理 請您回電,電話是 0976-819-518。
utt000126	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000127	麻煩您撥打 04-7107-9957 聯絡 Leo 李顧問,謝謝。
utt000128	請問您是要報修 AI 語音助理 還是 USB?
utt000129	系統顯示您的 API 介面 帳號需要更新,請聯絡總務部。
utt000130	今天的會議改到下午 3 點,地點在 3 樓會議室。
utt000131	我們已經把 SSD 硬碟 寄到您的信箱,請查收。
utt000132	系統顯示您的 OTP 驗證碼 帳號需要更新,請聯絡法務部。
utt000133	Eric 的 OTP 驗證碼 已經準備好,請到 2 樓領取。
utt000134	幫您轉接給 Cindy 呂課長,請稍候。
utt000135	關於您的 Server 主機 問題,我幫您轉到人資部。
utt000136	您好,業務部的 Joyce 蘇組長 為您服務。
utt000137	請問您要找哪一位?是 Eric 還是 Oscar?
utt000138	您好,資訊部的 Oscar 鄭協理 為您服務。
utt000139	我們已經把 API 介面 寄到您的信箱,請查收。
utt000140	請問您是要報修 USB 還是 QR Code?
utt000141	Tina 江組長 請您回電,電話是 0978-274-839。
utt000142	不好意思,Amy 剛離開,請問要留言給王主任嗎?
utt000143	系統顯示您的 email 帳號需要更新,請聯絡客服部。
utt000144	您好,這裡是台灣精密,很高興為您服務。
utt000145	不好意思,Kevin 剛離開,請問要留言給鄭副理嗎?
utt000146	請問您的訂單編號是?方便提供一下嗎?編號是 417350。
utt000147	請問您要找哪一位?是 Andy 還是 Cindy?
utt000148	您好,請問要預約 Sandra 工程師 的時間嗎?
utt000149	David 許小姐 現在不在位子上,需要幫您留言嗎?
utt000150	幫您轉接給 Michael 謝專員,他的分機是 4157。
utt000151	請問是 Emily 先生嗎?廖先生要找您。
utt000152	您撥的分機 795 忙線中,請稍後再撥。
utt000153	幫您轉接給 Michael 江副理,請稍候。
utt000154	請問是 Peter 先生嗎?蔡組長要找您。
utt000155	Jack 的 PDF 報價單 已經準備好,請到 6 樓領取。
utt000156	Steve 廖主任 請您回電,電話是 07-9080-7603。
utt000157	關於您的 PDF 報價單 問題,我幫您轉到財務部。
utt000158	您的ERP 系統設定已完成,如有問題請撥分機 5569。
utt000159	我們已經把 API 介面 寄到您的信箱,請查收。
utt000160	Daniel 呂襄理 現在不在位子上,需要幫您留言嗎?
utt000161	Brian 的 Excel 報表 已經準備好,請到 5 樓領取。
utt000162	關於您的 AI 語音助理 問題,我幫您轉到採購部。
utt000163	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000164	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt000165	系統顯示您的 CRM 系統 帳號需要更新,請聯絡財務部。
utt000166	關於您的 email 問題,我幫您轉到資訊部。
utt000167	謝謝您的來電,祝您有美好的一天,再見。
utt000168	幫您轉接給 Nancy 楊襄理,他的分機是 660。
utt000169	系統顯示您的 Teams 會議 帳號需要更新,請聯絡法務部。
utt000170	Sam 張業務 請您回電,電話是 0973-794-967。
utt000171	麻煩您撥打 0995-882-659 聯絡 Vivian 吳課長,謝謝。
utt000172	請問您的訂單編號是?方便提供一下嗎?編號是 779713。
utt000173	關於您的 VPN 問題,我幫您轉到研發部。
utt000174	請問您是要報修 PDF 報價單 還是 USB?
utt000175	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt000176	您的快遞單號是 2083079146,預計明天送達。
utt000177	關於您的 Excel 報表 問題,我幫您轉到行銷部。
utt000178	請問是 Sam 先生嗎?陳經理要找您。
utt000179	謝謝您的來電,祝您有美好的一天,再見。
utt000180	您撥的分機 1450 忙線中,請稍後再撥。
utt000181	謝謝您的來電,祝您有美好的一天,再見。
utt000182	請問您要找哪一位?是 Ivy 還是 Steve?
utt000183	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt000184	幫您轉接給 Catherine 莊工程師,請稍候。
utt000185	系統顯示您的 USB 帳號需要更新,請聯絡技術部。
utt000186	Sam 劉小姐 現在不在位子上,需要幫您留言嗎?
utt000187	請問您要找哪一位?是 Tony 還是 Eric?
utt000188	您的快遞單號是 2329069563,預計明天送達。
utt000189	今天的會議改到下午 4 點,地點在 18 樓會議室。
utt000190	Joyce 的 Server 主機 已經準備好,請到 3 樓領取。
utt000191	幫您轉接給 Amy 蔡課長,他的分機是 288。
utt000192	您撥的分機 555 忙線中,請稍後再撥。
utt000193	關於您的 QR Code 問題,我幫您轉到人資部。
utt000194	請問是 Rita 先生嗎?蔡經理要找您。
utt000195	麻煩您撥打 02-8875-6999 聯絡 Leo 江小姐,謝謝。
utt000196	請問您要找哪一位?是 Victor 還是 Nancy?
utt000197	不好意思,Alex 剛離開,請問要留言給楊工程師嗎?
utt000198	今天的會議改到下午 1 點,地點在 15 樓會議室。
utt000199	幫您轉接給 Steve 蘇先生,請稍候。
utt000200	謝謝您的來電,祝您有美好的一天,再見。
utt000201	您好,行銷部的 Sandra 黃助理 為您服務。
utt000202	不好意思,Vivian 剛離開,請問要留言給周主任嗎?
utt000203	請問是 Rita 先生嗎?蘇主任要找您。
utt000204	請問您的訂單編號是?方便提供一下嗎?編號是 289960。
utt000205	幫您轉接給 Catherine 王組長,請稍候。
utt000206	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt000207	不好意思,Wendy 剛離開,請問要留言給葉副理嗎?
utt000208	您好,請問要預約 Helen 經理 的時間嗎?
utt000209	您的ERP 系統設定已完成,如有問題請撥分機 688。
utt000210	Steve 吳組長 現在不在位子上,需要幫您留言嗎?
utt000211	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000212	Catherine 蘇助理 現在不在位子上,需要幫您留言嗎?
utt000213	關於您的 Zoom 連結 問題,我幫您轉到法務部。
utt000214	我們已經把 Server 主機 寄到您的信箱,請查收。
utt000215	您好,請問要預約 Andy 工程師 的時間嗎?
utt000216	Tony 廖顧問 現在不在位子上,需要幫您留言嗎?
utt000217	Cindy 李組長 現在不在位子上,需要幫您留言嗎?
utt000218	Henry 的 VPN 已經準備好,請到 11 樓領取。
utt000219	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000220	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt000221	Brian 目前正在開會,大約 22 分鐘後回來。
utt000222	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡客服部。
utt000223	您的PDF 報價單設定已完成,如有問題請撥分機 022。
utt000224	Sandra 曾先生 請您回電,電話是 0948-326-626。
utt000225	請問您的訂單編號是?方便提供一下嗎?編號是 669110。
utt000226	幫您轉接給 Ivy 蘇顧問,請稍候。
utt000227	Cindy 許協理 請您回電,電話是 0915-582-107。
utt000228	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000229	幫您轉接給 Tina 賴助理,他的分機是 4502。
utt000230	不好意思,Frank 剛離開,請問要留言給黃課長嗎?
utt000231	Charlie 的 API 介面 已經準備好,請到 3 樓領取。
utt000232	您撥的分機 735 忙線中,請稍後再撥。
utt000233	Andy 目前正在開會,大約 32 分鐘後回來。
utt000234	請問您是要報修 Excel 報表 還是 Line 群組?
utt000235	請問您的訂單編號是?方便提供一下嗎?編號是 839290。
utt000236	請問您要找哪一位?是 Peter 還是 Daniel?
utt000237	系統顯示您的 QR Code 帳號需要更新,請聯絡技術部。
utt000238	請問您要找哪一位?是 Frank 還是 Emily?
utt000239	謝謝您的來電,祝您有美好的一天,再見。
utt000240	幫您轉接給 Tina 莊業務,請稍候。
utt000241	您好,請問要預約 Eric 副理 的時間嗎?
utt000242	Helen 目前正在開會,大約 32 分鐘後回來。
utt000243	請問您要找哪一位?是 Charlie 還是 Amy?
utt000244	系統顯示您的 email 帳號需要更新,請聯絡法務部。
utt000245	麻煩您撥打 0946-856-473 聯絡 Alex 陳小姐,謝謝。
utt000246	不好意思,Ivy 剛離開,請問要留言給蔡助理嗎?
utt000247	請問您的訂單編號是?方便提供一下嗎?編號是 611884。
utt000248	David 李先生 現在不在位子上,需要幫您留言嗎?
utt000249	您撥的分機 769 忙線中,請稍後再撥。
utt000250	麻煩您撥打 0999-786-673 聯絡 Rita 江專員,謝謝。
utt000251	Sophia 的 Line 群組 已經準備好,請到 8 樓領取。
utt000252	請問您的訂單編號是?方便提供一下嗎?編號是 672624。
utt000253	不好意思,Vivian 剛離開,請問要留言給張助理嗎?
utt000254	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt000255	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000256	幫您轉接給 Joyce 林副理,請稍候。
utt000257	不好意思,Daniel 剛離開,請問要留言給賴副理嗎?
utt000258	我們已經把 Line 群組 寄到您的信箱,請查收。
utt000259	您好,請問要預約 Jerry 先生 的時間嗎?
utt000260	您好,這裡是全球科技,很高興為您服務。
utt000261	關於您的 email 問題,我幫您轉到業務部。
utt000262	幫您轉接給 Alex 黃協理,他的分機是 4001。
utt000263	謝謝您的來電,祝您有美好的一天,再見。
utt000264	您好,請問要預約 Vivian 副理 的時間嗎?
utt000265	請問您是要報修 Teams 會議 還是 email?
utt000266	您好,行銷部的 Karen 許顧問 為您服務。
utt000267	您的ERP 系統設定已完成,如有問題請撥分機 385。
utt000268	Jason 曾工程師 請您回電,電話是 0966-293-887。
utt000269	幫您轉接給 Joyce 曾襄理,他的分機是 780。
utt000270	請問是 Helen 先生嗎?謝顧問要找您。
utt000271	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000272	不好意思,Ivy 剛離開,請問要留言給李專員嗎?
utt000273	您撥的分機 5469 忙線中,請稍後再撥。
utt000274	您好,這裡是佳世達,很高興為您服務。
utt000275	您好,請問要預約 Vivian 協理 的時間嗎?
utt000276	不好意思,Emily 剛離開,請問要留言給賴主任嗎?
utt000277	請問您要找哪一位?是 Joyce 還是 Michael?
utt000278	系統顯示您的 PDF 報價單 帳號需要更新,請聯絡行銷部。
utt000279	我們已經把 AI 語音助理 寄到您的信箱,請查收。
utt000280	幫您轉接給 Betty 謝經理,他的分機是 304。
utt000281	謝謝您的來電,祝您有美好的一天,再見。
utt000282	Vivian 目前正在開會,大約 22 分鐘後回來。
utt000283	請問您的訂單編號是?方便提供一下嗎?編號是 188659。
utt000284	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt000285	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000286	請問您要找哪一位?是 Catherine 還是 Emily?
utt000287	您的Server 主機設定已完成,如有問題請撥分機 0578。
utt000288	麻煩您撥打 0934-766-766 聯絡 Jerry 林專員,謝謝。
utt000289	幫您轉接給 Eric 葉副理,請稍候。
utt000290	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt000291	您好,這裡是聯華實業,很高興為您服務。
utt000292	您好,請問要預約 Jason 小姐 的時間嗎?
utt000293	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt000294	您的快遞單號是 6317120352,預計明天送達。
utt000295	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000296	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡財務部。
utt000297	系統顯示您的 SSD 硬碟 帳號需要更新,請聯絡行銷部。
utt000298	幫您轉接給 Karen 林經理,請稍候。
utt000299	Wendy 廖副理 請您回電,電話是 06-3924-3811。
utt000300	您撥的分機 838 忙線中,請稍後再撥。
utt000301	謝謝您的來電,祝您有美好的一天,再見。
utt000302	關於您的 SSD 硬碟 問題,我幫您轉到人資部。
utt000303	麻煩您撥打 0969-194-119 聯絡 Tina 黃顧問,謝謝。
utt000304	謝謝您的來電,祝您有美好的一天,再見。
utt000305	Henry 邱組長 現在不在位子上,需要幫您留言嗎?
utt000306	您撥的分機 252 忙線中,請稍後再撥。
utt000307	請問是 Catherine 先生嗎?張協理要找您。
utt000308	您好,這裡是凌華科技,很高興為您服務。
utt000309	幫您轉接給 Kelly 葉課長,請稍候。
utt000310	Henry 的 Teams 會議 已經準備好,請到 9 樓領取。
utt000311	請問您的訂單編號是?方便提供一下嗎?編號是 187263。
utt000312	請問您是要報修 USB 還是 CRM 系統?
utt000313	您撥的分機 634 忙線中,請稍後再撥。
utt000314	您好,請問要預約 Henry 業務 的時間嗎?
utt000315	今天的會議改到下午 2 點,地點在 11 樓會議室。
utt000316	請問您是要報修 Server 主機 還是 USB?
utt000317	您好,這裡是佳世達,很高興為您服務。
utt000318	請問您是要報修 PDF 報價單 還是 Line 群組?
utt000319	今天的會議改到下午 1 點,地點在 9 樓會議室。
utt000320	Jerry 的 PDF 報價單 已經準備好,請到 10 樓領取。
utt000321	不好意思,Jerry 剛離開,請問要留言給張副理嗎?
utt000322	Kevin 周先生 現在不在位子上,需要幫您留言嗎?
utt000323	您好,客服部的 Betty 蔡經理 為您服務。
utt000324	您的Outlook設定已完成,如有問題請撥分機 607。
utt000325	今天的會議改到下午 1 點,地點在 5 樓會議室。
utt000326	您撥的分機 716 忙線中,請稍後再撥。
utt000327	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000328	謝謝您的來電,祝您有美好的一天,再見。
utt000329	您的Outlook設定已完成,如有問題請撥分機 796。
utt000330	請問是 Oscar 先生嗎?許助理要找您。
utt000331	David 目前正在開會,大約 40 分鐘後回來。
utt000332	您好,這裡是鼎新資訊,很高興為您服務。
utt000333	請問您要找哪一位?是 Oscar 還是 Alex?
utt000334	您撥的分機 5213 忙線中,請稍後再撥。
utt000335	我們已經把 email 寄到您的信箱,請查收。
utt000336	您好,請問要預約 Sam 業務 的時間嗎?
utt000337	系統顯示您的 SSD 硬碟 帳號需要更新,請聯絡財務部。
utt000338	您好,請問要預約 Catherine 專員 的時間嗎?
utt000339	系統顯示您的 Server 主機 帳號需要更新,請聯絡研發部。
utt000340	您的快遞單號是 6427360512,預計明天送達。
utt000341	您的ERP 系統設定已完成,如有問題請撥分機 840。
utt000342	請問您是要報修 API 介面 還是 Outlook?
utt000343	Charlie 目前正在開會,大約 13 分鐘後回來。
utt000344	您的SSD 硬碟設定已完成,如有問題請撥分機 7094。
utt000345	請問您是要報修 VPN 還是 OTP 驗證碼?
utt000346	關於您的 Server 主機 問題,我幫您轉到人資部。
utt000347	Jack 莊業務 請您回電,電話是 0975-392-920。
utt000348	Sandra 的 OTP 驗證碼 已經準備好,請到 6 樓領取。
utt000349	請問您的訂單編號是?方便提供一下嗎?編號是 887730。
utt000350	我們已經把 OTP 驗證碼 寄到您的信箱,請查收。
utt000351	您撥的分機 686 忙線中,請稍後再撥。
utt000352	我們已經把 Zoom 連結 寄到您的信箱,請查收。
utt000353	您撥的分機 9650 忙線中,請稍後再撥。
utt000354	幫您轉接給 Karen 吳協理,他的分機是 967。
utt000355	Charlie 目前正在開會,大約 37 分鐘後回來。
utt000356	請問您要找哪一位?是 Victor 還是 Amy?
utt000357	系統顯示您的 Wi-Fi 帳號需要更新,請聯絡技術部。
utt000358	幫您轉接給 Helen 謝副理,他的分機是 958。
utt000359	麻煩您撥打 03-6262-6088 聯絡 Kevin 張副理,謝謝。
utt000360	謝謝您的來電,祝您有美好的一天,再見。
utt000361	關於您的 email 問題,我幫您轉到行銷部。
utt000362	麻煩您撥打 07-2728-4124 聯絡 Catherine 曾主任,謝謝。
utt000363	您好,請問要預約 Grace 副理 的時間嗎?
utt000364	幫您轉接給 Tina 劉協理,請稍候。
utt000365	您的Line 群組設定已完成,如有問題請撥分機 862。
utt000366	幫您轉接給 Amy 蘇小姐,請稍候。
utt000367	Michael 洪小姐 請您回電,電話是 05-6759-2614。
utt000368	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000369	Grace 郭業務 請您回電,電話是 07-9929-9584。
utt000370	您撥的分機 152 忙線中,請稍後再撥。
utt000371	您好,這裡是全球科技,很高興為您服務。
utt000372	您好,請問要預約 Tony 組長 的時間嗎?
utt000373	您好,人資部的 Charlie 張顧問 為您服務。
utt000374	您撥的分機 161 忙線中,請稍後再撥。
utt000375	今天的會議改到下午 5 點,地點在 10 樓會議室。
utt000376	關於您的 Excel 報表 問題,我幫您轉到品保部。
utt000377	今天的會議改到下午 3 點,地點在 9 樓會議室。
utt000378	請問您是要報修 OTP 驗證碼 還是 PDF 報價單?
utt000379	不好意思,Betty 剛離開,請問要留言給蔡經理嗎?
utt000380	系統顯示您的 CRM 系統 帳號需要更新,請聯絡資訊部。
utt000381	您的Outlook設定已完成,如有問題請撥分機 439。
utt000382	您的PDF 報價單設定已完成,如有問題請撥分機 844。
utt000383	您好,技術部的 Tony 劉經理 為您服務。
utt000384	請問您要找哪一位?是 Tony 還是 Tony?
utt000385	關於您的 Teams 會議 問題,我幫您轉到總務部。
utt000386	麻煩您撥打 04-7651-7951 聯絡 Sandra 洪襄理,謝謝。
utt000387	我們已經把 AI 語音助理 寄到您的信箱,請查收。
utt000388	請問您的訂單編號是?方便提供一下嗎?編號是 963710。
utt000389	Daniel 賴主任 請您回電,電話是 0955-114-878。
utt000390	請問您的訂單編號是?方便提供一下嗎?編號是 505112。
utt000391	請問您是要報修 Zoom 連結 還是 CRM 系統?
utt000392	請問是 Kevin 先生嗎?鄭課長要找您。
utt000393	您的VPN設定已完成,如有問題請撥分機 0488。
utt000394	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000395	幫您轉接給 Sam 郭專員,他的分機是 440。
utt000396	請問您要找哪一位?是 Helen 還是 Linda?
utt000397	幫您轉接給 Jack 王經理,請稍候。
utt000398	您的快遞單號是 2959073704,預計明天送達。
utt000399	Sandra 的 Server 主機 已經準備好,請到 9 樓領取。
utt000400	麻煩您撥打 0947-229-210 聯絡 Betty 劉副理,謝謝。
utt000401	您的快遞單號是 5287091707,預計明天送達。
utt000402	幫您轉接給 Michael 賴助理,他的分機是 6027。
utt000403	系統顯示您的 USB 帳號需要更新,請聯絡人資部。
utt000404	Victor 廖業務 請您回電,電話是 0966-294-152。
utt000405	Peter 李專員 請您回電,電話是 0978-268-721。
utt000406	我們已經把 VPN 寄到您的信箱,請查收。
utt000407	幫您轉接給 Ivy 賴課長,請稍候。
utt000408	請問是 Daniel 先生嗎?葉業務要找您。
utt000409	Kevin 楊組長 現在不在位子上,需要幫您留言嗎?
utt000410	謝謝您的來電,祝您有美好的一天,再見。
utt000411	幫您轉接給 Brian 郭工程師,他的分機是 789。
utt000412	Helen 許協理 現在不在位子上,需要幫您留言嗎?
utt000413	謝謝您的來電,祝您有美好的一天,再見。
utt000414	您的快遞單號是 2267472211,預計明天送達。
utt000415	幫您轉接給 Frank 洪課長,他的分機是 561。
utt000416	您好,這裡是佳世達,很高興為您服務。
utt000417	今天的會議改到下午 1 點,地點在 10 樓會議室。
utt000418	系統顯示您的 ERP 系統 帳號需要更新,請聯絡財務部。
utt000419	關於您的 CRM 系統 問題,我幫您轉到技術部。
utt000420	您好,資訊部的 Catherine 張助理 為您服務。
utt000421	系統顯示您的 Wi-Fi 帳號需要更新,請聯絡總務部。
utt000422	您撥的分機 852 忙線中,請稍後再撥。
utt000423	Cindy 目前正在開會,大約 17 分鐘後回來。
utt000424	系統顯示您的 CRM 系統 帳號需要更新,請聯絡法務部。
utt000425	幫您轉接給 Wendy 蔡襄理,他的分機是 7533。
utt000426	謝謝您的來電,祝您有美好的一天,再見。
utt000427	Victor 目前正在開會,大約 35 分鐘後回來。
utt000428	幫您轉接給 Tony 李襄理,請稍候。
utt000429	您好,資訊部的 Linda 廖主任 為您服務。
utt000430	您撥的分機 4704 忙線中,請稍後再撥。
utt000431	Nancy 洪課長 現在不在位子上,需要幫您留言嗎?
utt000432	您的快遞單號是 1443888249,預計明天送達。
utt000433	您好,技術部的 Leo 蘇助理 為您服務。
utt000434	Michael 曾主任 請您回電,電話是 03-1775-2113。
utt000435	您好,研發部的 Sophia 吳業務 為您服務。
utt000436	請問您要找哪一位?是 Andy 還是 Kevin?
utt000437	您好,這裡是佳世達,很高興為您服務。
